"name","role","commentFull"
"DURBIN","speaker","How long…"
"FORD","witness","And he — he looked a little bit ill."
"DURBIN","speaker","How long did this occur after the incident?"
"FORD","witness","I would estimate six to eight weeks."
"DURBIN","speaker","Thank you, Mr. Chairman."
"GRASSLEY","speaker","Before we take a break, I can’t let what Durbin — Senator Durbin said — by the way, he’s my friend; we work on a lot of legislation together. But you talked about the obstruction from the other side. I cannot let it go by what you’ve heard me say so many times, that between July 30th and September 13th, there were 45 days this committee could have been investigating this situation and her privacy would have been producted — protected. So something happened here in between, on your side, that the whole country — well, not the whole country should have known about it — no, not know about it. We should have investigated it. We’ll take a break now for 15 minutes. (RECESS) Dr. Ford, let me ask you a process question here. We were going to schedule a break for 12:05. This last break came just a little bit later; I didn’t call it at the right time. We’re going to have a vote at 12:40, so would it be possible for you to go from now until 12:40 without a break?"
"GRASSLEY","speaker","Yes, OK. Now it is Senator Cornyn’s time, so proceed Ms. Mitchell."
"MITCHELL","speaker","Thank you, Senator. I have a blow-up here to my right of the map that was shown to you. The address that’s indicated on here as belonging to your family is what all the property tax records showed as being your address."
"MITCHELL","speaker","Just to put it in perspective, I’d like to show you a further-out — a zoomed-out picture, so that we can put it in perspective. So, we can show the greater Washington area. Of course, you can see the Beltway on that — the Beltway area."
"MITCHELL","speaker","Then number three, if we could look at that, we drew a one-mile radius around the country club and then we calculated from the farthest point…"
"HARRIS","speaker","Mr. Chairman, again, we don’t have these documents."
"HARRIS","speaker","No, we’re not. That’s why she showed three different documents, because they depict three different things. So we’d like to see all three documents, please, so we can follow along."
"GRASSLEY","speaker","She — proceed please."
"MITCHELL","speaker","OK. Looking at number — the third thing here, we calculated the distance from the closest point to your house from a mile radius of the country club and then the farthest point. You can see it’s 6.2 and, of course, 8.2 miles."
"MITCHELL","speaker","And you’ve described this as being near the country club, wherever this house was, is that right?"
"FORD","witness","I would describe it as it’s somewhere between my house and the country club in that vicinity that’s shown in your picture. And the country club is about 20 — a 20-minute drive from my parents’ home."
"MITCHELL","speaker","A 20-minute drive. And, of course, I’ve marked as the crow flies."
"MITCHELL","speaker","Would it be fair to say that somebody drove you somewhere, either to the party or home from the party?"
"MITCHELL","speaker","OK. Has anyone come forward to say to you, “Hey, remember, I was the one that drove you home?”"
"MITCHELL","speaker","OK. In your July 6th text to The Washington Post that you looked at earlier, you said that this happened in the mid ’80s. In your letter to Senator Feinstein you said it occurred in the early ’80s."
"MITCHELL","speaker","In your polygraph statement you said it was high school summer in ’80s, and you actually had written in and this is one of the corrections I referred to early and then you crossed that out. Later in your interview with The Washington Post, you were more specific. You believed it occurred in the summer of 1982 and you said at the end of your sophomore year."
"MITCHELL","speaker","You said the same thing I believe in your prepared statement. How were you able to narrow down the timeframe?"
"FORD","witness","I can’t give the exact date. And I would like to be more helpful about the date, and if I knew when Mark Judge worked at the Potomac Safeway, then I would be able to be more helpful in that way. So I’m just using memories of when I got my driver’s license. I was 15 at the time. And I — I did not drive home from that party or to that party, and once I did have my driver’s license, I liked to drive myself."
"MITCHELL","speaker","I’d assume the legal driving age was 16."
"MITCHELL","speaker","OK. Now, you’ve talked about attending therapy. In your text to The Washington Post dated 7/6 — so that’s the very first statement we have from you — you put in there, quote, “have therapy records talking about it.”"
"MITCHELL","speaker","I want to make sure I understand that. Did you already have your therapy records at that time?"
"FORD","witness","I had looked at them online to see if they existed, yes."
"MITCHELL","speaker","OK. So this was something that was available to you via a computer, like a — a patient portal?"
"FORD","witness","Actually, no, it was in the office of a provider."
"FORD","witness","She helped me go through the record to locate whether I had had record of this conversation that I had remembered."
"MITCHELL","speaker","Did you show a full or partial set of those marriage therapy records to The Washington Post?"
"FORD","witness","I don’t remember. I remember summarizing for her what they said. So I’m not – I’m not quite sure if I actually gave her the record."
"MITCHELL","speaker","OK. So it’s possible that the reporter did not see these notes."
"FORD","witness","I don’t know if she’s – I can’t recall whether she saw them directly or if I just told her what they said."
"MITCHELL","speaker","Have you shown them to anyone else besides your counsel?"
"FORD","witness","Just the counsel."
"MITCHELL","speaker","OK. Would it be fair to say that Brett Kavanaugh’s name is not listed in those notes?"
"FORD","witness","His name is not listed in those notes."
"MITCHELL","speaker","Would it also be fair to say that the therapist notes that we’ve been talking about say that there were four boys in the room?"
"FORD","witness","It describes the sexual assault and it says erroneously by four boys. So the therapist got the content of it wrong."
"MITCHELL","speaker","And you corrected that to The Washington Post reporter, correct?"
"GRASSLEY","speaker","Senator Whitehouse."
"WHITEHOUSE","speaker","Thank you, chairman. Thank you, Dr. Blasey Ford. A lot of people are proud of you today. From a prosecutor’s view, one of the hardest things that we have to do is to speak to somebody who’s come forward with an allegation of sexual assault and let them know that we can’t provide the evidence to go forward to trial. It’s a hard day for the prosecutor to do that. And so, both because making a sincere and thorough investigative effort is such an important consolation to the victim in that circumstance and because it’s what you’re obliged to do professionally, sincere and thorough investigation is critical to these claims in a prosecutor’s world. It may be the most basic thing that we owe a victim or a witness coming forward is to make sure that we give them a full, thorough and sincere investigation. You have met all of the standards of what I might call preliminary credibility with your initial statement. You have vivid, specific and detailed recollections, something prosecutors look for. Your recollections are consistent with known facts. You made prior consistent statements, something else prosecutors and lawyers look for. You are willing to, and – and did, take a lie detector test. And you are willing to testify here. Here you are, subject to professional cross-examination by a prosecutor. So you’ve met any condition any prosecutor could expect to go forward; and, yet, there has been no sincere or thorough investigation of your claims. You specifically asked for an FBI investigation, did you not?"
"UNKNOWN","","You can say something (ph)."
"WHITEHOUSE","speaker","And are you aware that when the FBI begins investigating, they might find corroborative evidence and they might find exculpatory evidence?"
"FORD","witness","I don’t know what exculpatory evidence…"
"WHITEHOUSE","speaker","Is it(ph)…"
"FORD","witness","… is."
"WHITEHOUSE","speaker","… not helpful to your recollection and — and — version of events. Helpful to the accused."
"FORD","witness","Understood. Yes."
"WHITEHOUSE","speaker","So it could go either way."
"WHITEHOUSE","speaker","And you were (ph) still — not just willing, but insistent that the FBI should investigate your recollection and your claim?"
"FORD","witness","Yes. I feel like it would — I could be more helpful in that, if that was the case, in providing some of the details that maybe people are wanting to know about."
"WHITEHOUSE","speaker","And — and as we know, they didn’t. And I submit that never — never in the history of background investigations has an investigation not been pursued when new, credible, derogatory information was brought forward about the nominee or the candidate. I don’t think this has ever happened in the history of FBI background investigations. Maybe somebody can prove me wrong, but it is wildly unusual and out of character. And in my view, it is a grave disservice to you — and I want to take this moment to apologize to you for that, and to report to anybody who might be listening, that when somebody’s willing to come forward, even under those circumstances, even — haven’t been — not given the modicum of courtesy and support of a proper investigation, you’ve shown yourself particularly proud in doing that. And the responsibility for the decision to have this be, I think, the only background investigation in history to be stopped as derogatory information came forward, belongs with 13 men: the president, Director Wray of the FBI, and the 11 members of the majority of this committee. As to the committee’s investigation, the fact that Mr. Kavanaugh’s alleged accomplice has not been subpoenaed, has not been examined and cross-examined under oath, has not been interviewed by the FBI, tells you all you need to know about how credible this performance is. The very bare minimum that a person who comes forward is owed, is sincere and thorough investigation and you’ve been denied that. And I will make a personal pledge to you, here, that however long it takes, in whatever forum I can do it, whenever it’s possible, I will do whatever’s in my power to make sure that your claims get a full and proper investigation and not just this. Thank you for being here."
"GRASSLEY","speaker","Since this issue’s come up so many times, I’d like to comment. The New Yorker published an anonymous account of allegations, September the 14th. Two days later, Dr. Ford identified herself as the victim in a Post article, detailing her allegations. I immediately directed my staff to investigate. September the 17th, Dr. Ford’s counsel went on several television shows, requesting that her client have an opportunity to tell her story. The same day, I scheduled a hearing for Monday, September the 24th giving Dr. Ford a week to prepare her testimony and come to Washington, D.C. On September the 17th, the committee investigative staff reached out to Dr. Ford and Judge Kavanaugh to schedule follow-up interviews with Republican and Democrat investigators. Judge Kavanaugh accepted the opportunity to speak to the investigators under criminal penalty. Dr. Ford declined. In his interview on September the 17th, Judge Kavanaugh denied the allegations and requested a hearing as soon as possible. Democratic staff refused to participate in that interview. The next day, September the 18th, committee investigative staff contacted Mark Judge requesting an interview. Committee staff also learned the identity of two other alleged partygoers and requested interviews. Mark Judge submitted a statement under penalty of felony denying knowledge of the party described by Dr. Ford and states that he never saw Brett at the — in the manner described by Dr. Ford. And I can go on and on about that, but we got to realize that what we have done in this case — all the time, you go through a background investigation by the FBI, then it comes to us and there’s always some holes in it that we have to follow-up on. And besides…"
"KLOBUCHAR","speaker","Mr. Chairman…"
"GRASSLEY","speaker","… we’re responding to Dr. Ford’s request to tell her story, that’s why we’re here."
"KLOBUCHAR","speaker","… Mr. Chairman. Mr. Chairman…"
"GRASSLEY","speaker","… Ms. Mitchell, go for Senator…"
"KLOBUCHAR","speaker","… Mr. Chairman, I just want to point out that — to support what Senator Whitehouse said, in the Anita Hill case… DURBIN?: Can we hear from Dr. — Dr. Ford? … George Bush ordered that the investigation be opened again."
"GRASSLEY","speaker","Ms. Mitchell, will you proceed for — for Senator Lee?"
"MITCHELL","speaker","Thank you, Mr. Chairman. Dr. Ford, The Washington Post reported in their September 16th article that you did show them therapist notes. Is that incorrect?"
"FORD","witness","I don’t remember physically showing her a note."
"FORD","witness","Perhaps my counsel did. I don’t — I don’t remember physically showing her my copy of the note."
"FORD","witness","But I — I just don’t remember. I’m sorry. I have retrieved a physical copy of those medical records."
"MITCHELL","speaker","OK, thank you. You also attended individual therapy. Did you show any of those notes to the reporter from The Washington Post?"
"FORD","witness","Again, I don’t remember if I showed her — like, something that I summarized, or if I just spoke about it or if she saw it in my counsel’s office. I can’t — I — I don’t know for sure, but I certainly spoke with her about the 2013 record with the individual therapist."
"MITCHELL","speaker","And Brett Kavanaugh’s name is not in those notes, is that correct?"
"MITCHELL","speaker","OK. In reading The Washington Post article, it mentions that this incident that we’re here about contributed to anxiety and PTSD problems with which you have struggled. The word contributed, does that mean that there are other things that have happened that have also contributed to anxiety and PTSD?"
"FORD","witness","I think that’s a great question. I think the etiology if anxiety and PTSD is multifactorial. So that was certainly a critical risk — risk that — we would call a risk factor in science, so that would be a predictor of the symptoms that I now have. It doesn’t mean that other things that have happened in my life would have — would make it worse or better. There are other risk factors as well."
"MITCHELL","speaker","So have there been other things, then, that have contributed to the anxiety and PTSD that you suffered?"
"FORD","witness","Well, I think there’s, sort of, biological predispositions that everyone in here has for particular disorders. So I can’t rule out that I would have some biological predisposition to be, you know…"
"MITCHELL","speaker","What about…"
"FORD","witness","… an anxious type person."
"MITCHELL","speaker","… what about environmental?"
"FORD","witness","Environmentally, not that I can think of."
"FORD","witness","Certainly, no — nothing as striking as that event."
"MITCHELL","speaker","OK. In your interview with The Washington Post, you said that you told your husband early in your marriage that you had been a victim of, and I quote, “physical abuse.” In your statement, you said that before you were married, you told him that you had experienced, quote, “a sexual assault.” Do these two things refer to the same incident?"
"MITCHELL","speaker","And at either point on these two times, did you use any names?"
"MITCHELL","speaker","OK. May I ask, Dr. Ford, how did you get to Washington?"
"FORD","witness","In an airplane."
"MITCHELL","speaker","OK. It’s — I ask that, because it’s been reported by the press that you would not submit to an interview with the committee because of your fear of flying. Is — is that true?"
"FORD","witness","Well, I was willing — I was hoping that they would come to me, but then I realized that was an unrealistic request."
"MITCHELL","speaker","It would’ve been a quicker trip for me."
"FORD","witness","Yes. So that was certainly what I was hoping, was to avoid having to get on an airplane, but I eventually was able to get up the gumption with the help of some friends, and get on the plane."
"MITCHELL","speaker","OK (ph). When you were here in the mid — mid-Atlantic area back in August, end of July, August, how did you get here?"
"FORD","witness","Also by airplane. I come here once a year during the summer to visit my family."
"FORD","witness","I’m sorry, not here. I go to Delaware."
"MITCHELL","speaker","OK. In fact, you fly fairly frequently for your hobbies and your — you’ve had to fly for your work. Is that true?"
"FORD","witness","Correct, unfortunately."
"MITCHELL","speaker","You — you were a consulting biostatistician in Sydney, Australia. Is that right?"
"FORD","witness","I’ve never been to Australia, but the company that I worked for is based in Australia, and they have an office in San Francisco, California."
"FORD","witness","I — I don’t think I’ll make it to Australia."
"MITCHELL","speaker","It is long. I also saw on your C.V. that you list the following interests of surf travel, and you, in parentheses” Hawaii, Costa Rica, South Pacific islands and French Polynesia.” Have you been all to those places?"
"MITCHELL","speaker","By airplane?"
"MITCHELL","speaker","And your interests also include oceanography, Hawaiian and Tahitian culture. Did you travel by air as a part of those interests?"
"MITCHELL","speaker","All right. Thank you very much."
"FORD","witness","Easier for me to travel going that direction when it’s a vacation."
"GRASSLEY","speaker","(OFF MIKE) Senator Klobuchar."
"KLOBUCHAR","speaker","Thank you, Mr. Chairman. Thank you for being here, Dr. Ford. You know, in my old job as a prosecutor, we investigated reports like this, so it gave me a window on the types of cases that hurt women and hurt all of us. And I would always tell the women that came before us that they were going to have to tell their story before a jury box of strangers. And you’ve had to tell your story before the entire nation. For so many years, people swept cases like yours under the rug. They’d say what happens inside a house didn’t belong in the courthouse. Well, the times have changed, so I just want to thank you for coming forward today, and for sharing your report with us. Now, I understand that you’ve taken a polygraph test, Dr. Ford, that found that you were being truthful when you described what happened to you. Can you tell us why you decided to take that test?"
"FORD","witness","I was meeting with attorneys. I was interviewing various attorneys, and the attorneys I asked if I was willing to take it, and I said absolutely. That said, it was almost as anxiety-provoking as an airplane flight."
"KLOBUCHAR","speaker","OK. And you’ve talked about your recollections, and seeing Mark Judge at that Safeway. If there had been an appropriate reopening of this background check and FBI interviews, would that help you find the time period, if you knew when he worked at that Safeway?"
"FORD","witness","I feel like I could be much more helpful if I could be provided with that date through employment records or the IRS or something, any – anything that would help."
"KLOBUCHAR","speaker","Thank you. I would assume that’s true. Dr. Ford, under federal law — and I don’t expect you to know this, but statements made to medical professionals are considered to be more reliable. There’s a federal rule of evidence about this. You told your counselor about this back in 2012, is that right?"
"FORD","witness","My therapist?"
"KLOBUCHAR","speaker","Yes."
"FORD","witness","My individual therapist. Correct."
"KLOBUCHAR","speaker","Right and I understand that your husband was also present when you spoke about this incident in front of a counselor and he recalls you using Judge Kavanaugh’s name. Is that right?"
"FORD","witness","Yes, I just have to slow down a minute because I might have been confusing. So there were two separate incidents…"
"FORD","witness","…where it’s reflected in my medical record. I had talked about it more than those two times, but therapists don’t typically write down content as much as they write down process. They usually are tracking your symptoms and not your story and the facts."
"KLOBUCHAR","speaker","Yes. Right."
"FORD","witness","I just happen to have it in my record twice. So the first time is in 2012 with my husband in couples therapy with the quibbling over the remodel, and then in 2013 with my individual therapist."
"KLOBUCHAR","speaker","OK, so if — if someone had actually done an investigation your husband would have been able to say that you named his name at that time?"
"KLOBUCHAR","speaker","OK. I know you’ve been concerned…"
"FORD","witness","2012."
"KLOBUCHAR","speaker","…with your privacy throughout the process, and you first requested that your account be kept confidential. Can you briefly tell us why?"
"FORD","witness","Yes. So as I stated before, once — I was unsuccessful in getting my information to you before the candidate was chosen. My original intent was to get the information when there was still a list of other candidates available. And once that was not successful and I saw that persons were very supportive of the nominee, I tracked it…"
"KLOBUCHAR","speaker","OK."
"FORD","witness","…all summer and realized that when I was calculating that risk-benefit ratio that it looked like I was going to just, you know, suffer only for no reason."
"KLOBUCHAR","speaker","OK. You know from my experience with memory, I remember distinctly things that happened to me in high school or happened to me in college."
"KLOBUCHAR","speaker","But I don’t exactly remember the date. I don’t exactly remember the time. I sometimes may not even remember the exact place where it occurred, but I remember the interaction. And many people are focused today on what you’re not able to remember about that night. I actually think you remember a lot. I’m going to phrase it a little differently: can you tell us what you don’t forget about that night?"
"FORD","witness","The stairwell, the living room, the bedroom, the bed on the right side of the room as you walk into the room. There was a bed to the right. The bathroom in close proximity, the laughter, the uproarious laughter, and the multiple attempts to escape and the final ability to do so."
"KLOBUCHAR","speaker","Thank you very much Dr. Ford."
"GRASSLEY","speaker","Dr. Ford. I’m going to correct the record but it’s not something that I’m saying that you stated wrongly because you may not know the fact that when – when you said that you didn’t think it was possible for us to go to California as a committee or our investigators to go to California to talk to you, we did, in fact, offer that to you and we had the capability of doing it and we would’ve done it anywhere or anytime."
"KLOBUCHAR","speaker","And Mr. Chairman, could I put the polygraph results on the record, please? The polygraph results in the record."
"GRASSLEY","speaker","Without…"
"KLOBUCHAR","speaker","Is there any objection?"
"GRASSLEY","speaker","Oh, or — let us see the chart."
"KLOBUCHAR","speaker","The polygraph? You want to all see it?"
"GRASSLEY","speaker","Will you hold just a minute, please?"
"KLOBUCHAR","speaker","I think you may have it."
"GRASSLEY","speaker","Yes, can we have the underlying charts, too?"
"KLOBUCHAR","speaker","The underlying charts? I have the polygraph results that I would just like to put in the record. I’ll — I’ll deal with the charts after that. Could I put the polygraph tests in the record?"
"BROMWICH","witness","Mr. Chairman, we were — we had proposed having the polygraph examiner testify, as you know. If that had happened, the full panoply of materials that he had supporting his examination would have been provided. You rejected that request, so what we did provide was the polygraph report, which is what the members of the committee currently have."
"KLOBUCHAR","speaker","And on September 26th, Mr. Chairman, this was actually sent to your chief counsel. And I just want to share with America so that they have this report as well."
"GRASSLEY","speaker","OK. We will accept, without objection, what you asked us to include but we’re also requesting and expect the other materials that I’ve just stated."
"KLOBUCHAR","speaker","But Mr. Chairman, you wouldn’t allow the underlying witness who performed the polygraph test to testify, nor would you allow Mark Judge to testify. And so I would just like to point out — thank you for allowing this report in the record, but that is the reason that we don’t have the underlying information for you."
"GRASSLEY","speaker","You got what you wanted, I think you’d be satisfied."
"BROMWICH","witness","Mr. Chairman…"
"KLOBUCHAR","speaker","I am satisfied with that. Thank you."
"GRASSLEY","speaker","Senator — go ahead."
"GRAHAM","speaker","When was the polygraph administered?"
"KLOBUCHAR","speaker","It was administered on August the 7th…"
"GRAHAM","speaker","When was…"
"KLOBUCHAR","speaker","…in 2018 and it was — the date of the report is August 10, 2018, Mr. Graham."
"GRAHAM","speaker","When was it provided to the committee?"
"GRASSLEY","speaker","Let’s just see if we can’t do this in a more orderly way. Let’s…"
"KLOBUCHAR","speaker","Well, it was — I was — he was asking and I have it right here and you have it as well. It was…"
"GRASSLEY","speaker","We’ve accepted…"
"KLOBUCHAR","speaker","…September 26th."
"GRASSLEY","speaker","We’ve accepted it."
"KLOBUCHAR","speaker","All right."
"GRASSLEY","speaker","Ms. Mitchell for Senator Cruz."
"MITCHELL","speaker","Thank you. Dr. Ford, we’ve talked about the day and the night that you’ve described in the summer of 1982. And thank you for being willing to do that. I know it’s difficult. I’d like to shift gears and discuss the last several months."
"MITCHELL","speaker","In your statement, you said that on July 6th, you had a, quote, “sense of urgency to relay the information to the Senate and the president.” Did you contact either the Senate or the president on or before July 6th?"
"FORD","witness","No, I did not. I did not know how to do that."
"MITCHELL","speaker","OK. Prior to July 6th, had you spoken to any member of Congress? And when I say Congress, I mean the Senate or the House of Representatives or any congressional staff members about your allegations?"
"MITCHELL","speaker","Why did you contact the Washington Post, then, on July 6th?"
"FORD","witness","So, I was panicking because I knew the timeline was short for the decision and people were giving me advice on the beach. People who don’t know about the processes, but they were giving me advice. And many people told me, “You need to hire a lawyer,” and I didn’t do that. I didn’t understand why I would need a lawyer. Somebody said, “Call the New York Times, call the Washington Post, put in an anonymous tip, go to your congressperson.” And when I weighed those options, I felt like the best option was to try to do the civic route which is to go to my congressperson, who happens to be Anna Eshoo. So I called her office and I also put in the anonymous tip to The Washington Post. And neither — unfortunately, neither got back to me in — before the selection of the nominee."
"MITCHELL","speaker","You testified that Congresswoman Eshoo’s office contacted you on July 9th, is that right?"
"FORD","witness","They contacted me the date that the nominee was announced, so that seems likely what…"
"MITCHELL","speaker","Had you talked to — about your allegations with anyone in her office before the date of July 9th?"
"FORD","witness","I told the receptionist on the phone."
"MITCHELL","speaker","OK. On July 10th, you texted The Washington Post again, which was really the third time, is that right? Second date, third time."
"FORD","witness","Let’s see."
"UNKNOWN","","(OFF-MIKE) One moment."
"MITCHELL","speaker","And you texted — been advised to contact senators or New York Times, haven’t heard back from Washington Post. Who…"
"MITCHELL","speaker","… advised you to contact senators or The New York Times?"
"FORD","witness","Beach friends…"
"FORD","witness","… coming up with ideas of how I could try to get to people because people weren’t responding to me very quickly. So very quickly, they responded to that text for what — unknown reason that once I sent that encrypted text, they responded very quickly."
"MITCHELL","speaker","Did you contact The New York Times?"
"MITCHELL","speaker","OK. Why not?"
"FORD","witness","I wasn’t interested in pursuing the media route, particularly. So I felt like one was enough, The Washington Post, and I was nervous about doing that. My preference was to talk with my congressperson."
"MITCHELL","speaker","OK. The Washington Post texted back that someone would get in touch — get you in touch with a reporter. Did you subsequently talk to a reporter with The Washington Post?"
"FORD","witness","Yes, under the encrypted app and off the record."
"MITCHELL","speaker","OK. Who was that reporter?"
"FORD","witness","Emma Brown."
"MITCHELL","speaker","OK. The person who ultimately wrote the story on September 16th?"
"MITCHELL","speaker","OK. Did you talk to any member of Congress — and, again, remember Congress includes the Senate, or the House of Representatives or any congressional staff members — about your allegations between July 10th and the July — and July 30th, which was the date of your letter to Senator Feinstein?"
"FORD","witness","Yes, I met with Congresswoman Eshoo’s staff. And I think that’s July 18th, the Wednesday, and then on the Friday I met with the congresswoman herself."
"MITCHELL","speaker","OK. When you met with her, did you meet with her alone or did someone come with you?"
"FORD","witness","I was alone. She had a staff person."
"MITCHELL","speaker","OK. What did you talk about with Congresswoman Eshoo and her staff on July 18th and the 20th?"
"FORD","witness","I described the night of the incident and we spent time speaking about that. And I asked her how to — what my options were in terms of going forward and how to get that information relayed forward. And I also talked to her about fears of whether this was confidential information. And she talked about the constituent confidentiality principle."
"MITCHELL","speaker","Thank you."
"GRASSLEY","speaker","Senator Coons."
"COONS","speaker","Thank you, Chairman Grassley. I’d like to ask unanimous consent to submit for the record five articles, including one titled “Why Sexual Assault Memories Stick,” and one entitled “Why Didn’t Kavanaugh Accuser Come Forward Earlier? Police Often Ignore Sexual Assault Allegations.”"
"COONS","speaker","Dr. Ford, I want to begin by thanking you for coming to testify in front of us today. You came forward with very serious and relevant information about a nominee for a lifetime position on our Supreme Court. You didn’t have to, and I know you’ve done it at great personal cost. This is a public service, and I want you to know that I’m grateful to have the opportunity to hear from you directly today. I’d like to just first follow up on that line of questioning Ms. Mitchell was following, because I think a lot of people don’t realize that you chose to come forward with your concerns about Judge Kavanaugh before he was nominated to the Supreme Court. Do I understand correctly that when you — when you first reached out to Congresswoman Eshoo and to the Washington Post tip line, that was when he was on the short list, but before he was nominated to the Supreme Court. Is that correct?"
"COONS","speaker","And if I understood your testimony earlier, it’s that you were motivated by a sense of civic duty, and — and frankly, a hope that some other highly-qualified nominee might be picked, not out of a motivation at a late stage to have an impact on the final decision."
"FORD","witness","Correct. I thought it was very important to get the information to you, but I didn’t know how to do it while there was still a short list of candidates."
"COONS","speaker","Thank you, Doctor. According to Justice Department data, about two thirds of sexual assault survivors don’t report their assaults. Based on your experience, I’d be interested in hearing from you about this, because you bore this alone. You bore this alone for a very long time, and it’d be helpful for us to better understand the ways that that’s impacted your whole life."
"FORD","witness","Well, it’s — it’s impacted me at different stages of the development of my life. So the immediate impact was probably the worst, so the first four years. I think I described earlier a fairly disastrous first two years of undergraduate studies at University of North Carolina, where I was finally able to pull myself together. And then, once coping with — with the immediate impacts, the short-term impacts, I experienced, like, longer-term impacts of anxiety and relationship challenges."
"COONS","speaker","Thank you for sharing that. And — and yet, you went on to get a PhD from USC. Is that correct?"
"COONS","speaker","As you predicted, there was a wide range of responses to your coming forward. Some thousands of survivors have been motivated and inspired by your courage; others have been critical. And as I’ve reviewed the wide range of reactions, I’ve been really troubled by the excuse offered by too many, that this was a high school incident, and boys will be boys. To me, that’s just far too low a standard for the conduct of boys and men in our country. If you would, I’d appreciate your reaction to the excuse that boys will be boys."
"FORD","witness","I can only speak for how it has impacted me greatly for the last 36 years, even though I was 15 years old at the time. And I think, you know, the younger you are when these things happen, it could possibly have worse impact than when you’re a full — when your brain is fully-developed, and you have better coping skills that you’ve developed."
"COONS","speaker","You know, experts have written about how it’s common for sexual assault survivors to remember some facts about the experience very sharply and very clearly, but not others, and that has to do with the survival mode that we go into in experiencing trauma. Is that your experience, and is that something you can help the layperson understand?"
"FORD","witness","Yes. I was definitely experiencing the fight-or-flight mode; is that what you’re referring to? Yes. So I was definitely experiencing the surge of adrenaline and cortisol and norepinephrine and — credit that a little bit for my ability to get out of the situation. But also some other lucky events that occurred. That…"
"COONS","speaker","Well…"
"FORD","witness","…allowed me to get out of the event."
"COONS","speaker","Dr. Ford, we are grateful that you came through it and that you shared your account with us and the American people. And I think you’ve provided important information. I’d like to thank you for your — meeting your civic duty. I wish we could have provided for you a more thorough hearing today. I think asking for the FBI to investigate this matter thoroughly was not asking too much. I think asking to have the other individual involved in your assault, Mark Judge, appear before us today was not asking too much. I’m grateful you came forward, and I’m thankful for your courage, which set an important example. Thank you, Dr. Ford."
"GRASSLEY","speaker","Ms. Mitchell, for Senator Sasse."
"MITCHELL","speaker","Dr. Ford, we were talking about you meeting in July with Congresswoman Eshoo."
"MITCHELL","speaker","Did you talk about your allegations with any Republican member of Congress or congressional staff?"
"FORD","witness","I did not. Where I live, the congresswoman is a Democrat."
"MITCHELL","speaker","OK. Was it communicated to you by your counsel or someone else, that the committee had asked to interview you and that — that they offered to come out to California to do so?"
"BROMWICH","witness","We’re going to object, Mr. Chairman, to any call for privileged conversations between counsel and Dr. Ford. It’s a privileged conversation… (CROSSTALK)"
"GRASSLEY","speaker","Would — could — could we — could you validate the fact that the offer was made without her saying a word?"
"BROMWICH","witness","(OFF-MIKE)"
"GRASSLEY","speaker","Is it possible for that question to be answered without violating any counsel relationships?"
"FORD","witness","Can I say something to you — do you mind if I say something to you directly?"
"GRASSLEY","speaker","Yes."
"FORD","witness","I just appreciate that you did offer that. I wasn’t clear on what the offer was. If you were going to come out to see me, I would have happily hosted you and had you — had been happy to speak with you out there. I just did not — it wasn’t clear to me that that was the case."
"GRASSLEY","speaker","OK. Does that take care of your question?"
"MITCHELL","speaker","Yes. Thank you, Mr. Chairman."
"GRASSLEY","speaker","OK. Proceed, then."
"MITCHELL","speaker","Before July 30th, the date on your letter to Senator Feinstein, had you retained counsel with regard to these allegations?"
"FORD","witness","No. I didn’t think — I didn’t understand why I would need lawyers, actually. That’s what — I just didn’t know."
"MITCHELL","speaker","A lot of people have that feeling. (LAUGHTER) Let’s talk about the letter that you wrote on July 30th. You asked Senator Feinstein to main (ph) confidentiality, quote, “until”…"
"BROMWICH","witness","Wait — wait until she retrieves it."
"MITCHELL","speaker","Oh, I’m sorry."
"FORD","witness","OK. I’m just trying to look for it, which one?"
"BROMWICH","witness","I think it’s — I think it’s the (inaudible)."
"GRASSLEY","speaker","Stop the clock, will you?"
"BROMWICH","witness","It’s in there someplace. Here we go…"
"FORD","witness","Oh, I found it."
"BROMWICH","witness","…here it is. You’ve got it."
"FORD","witness","Sorry."
"MITCHELL","speaker","OK. You asked Senator Feinstein to maintain confidentiality “until we have had further opportunity to speak,” and then said you were available to speak further vacationing in the Mid-Atlantic until August 7th. Is that correct?"
"FORD","witness","The last line, is that what you’re — I’m — I’m now just catching up with you, sorry. I’m a little slower. My mind is getting a little tired. “I am available to speak further, should you wish to discuss. I am” — yes, I was in Delaware until August 7."
"FORD","witness","And after that, I went to New Hampshire and then back to California."
"MITCHELL","speaker","Did you talk with anybody about this letter before you sent it?"
"FORD","witness","I talked with Anna Eshoo’s office."
"MITCHELL","speaker","OK. And why did you talk to Congresswoman Eshoo’s office about that letter?"
"FORD","witness","Because they were willing to hand-deliver it to Senator Feinstein."
"MITCHELL","speaker","OK. Did anyone help you write the letter?"
"MITCHELL","speaker","OK. After you sent your letter, did you or anyone on your behalf speak to Senator Feinstein personally or with any Senate staffer?"
"FORD","witness","I had a phone call with Senator Feinstein."
"MITCHELL","speaker","OK. And when was that?"
"FORD","witness","That was while I was still in Delaware, so before August 7th."
"MITCHELL","speaker","OK. And how many times did you speak with Senator Feinstein?"
"FORD","witness","Once."
"MITCHELL","speaker","OK. What did you talk about?"
"FORD","witness","She asked me some questions about the incident."
"FORD","witness","And I answered those questions."
